loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,address
10603, 36 months,12.49,354.66,B,B5,Vice President,4 years,RENT,144744,Verified,Apr-2019,Charged Off,credit_card,Credit card refinancing,12.35,Oct-1997,7,0,9527,38.2,16,f,Individual,0.0,0.0,"5875 Pine St
Jacksonville, KY 54373"
8900, 36 months,12.48,297.65,C,C5,Registered Nurse,4 years,MORTGAGE,37447,Source Verified,Feb-2018,Charged Off,debt_consolidation,Debt consolidation,16.58,Aug-1997,11,0,21119,25.2,22,w,Individual,3.0,0.0,"1620 Hill Ave
Seattle, MA 29089"
19283, 36 months,13.2,651.58,C,C3,Registered Nurse,10+ years,RENT,65736,Source Verified,Feb-2020,Fully Paid,major_purchase,Major purchase,17.0,Feb-2003,8,0,22439,64.2,20,f,Individual,1.0,0.0,"1415 Oak Ave
Memphis, MI 35796"
24800, 60 months,10.47,532.68,C,C5,Cashier,6 years,RENT,16482,Verified,Feb-2019,Fully Paid,debt_consolidation,Debt consolidation,19.7,Mar-2003,20,1,12548,48.7,33,f,Individual,1.0,0.0,"8711 Pine St
Los Angeles, NY 20053"
23359, 60 months,10.82,505.79,B,B5,Mechanic,4 years,RENT,57837,Source Verified,Oct-2016,Fully Paid,medical,Medical expenses,7.49,Oct-2009,7,0,2855,53.9,17,w,Individual,2.0,0.0,"6015 Main St
New York, SC 24601"
8074, 36 months,16.71,286.7,D,D3,Vice President,8 years,MORTGAGE,62771,Source Verified,Feb-2019,Fully Paid,other,Other,10.03,Nov-1989,8,0,2611,45.3,16,f,Individual,3.0,0.0,"9987 Elm St
Dallas, NC 28342"
11097, 60 months,17.47,278.6,D,D4,Project Manager,1 year,RENT,131429,Not Verified,Dec-2018,Fully Paid,credit_card,Credit card refinancing,13.44,Aug-1989,13,0,26259,18.9,20,f,Individual,1.0,0.0,"9838 Elm St
San Francisco, MA 35368"
16297, 60 months,9.27,340.44,B,B2,Technician,10+ years,MORTGAGE,22421,Source Verified,May-2017,Fully Paid,home_improvement,Home improvement,9.02,Nov-2009,11,0,11043,40.5,28,f,Individual,,0.0,"9294 Lake Rd
Jacksonville, CO 30206"
23988, 60 months,5.75,460.97,A,A3,,2 years,MORTGAGE,49814,Source Verified,Dec-2017,Fully Paid,educational,Educational,20.38,Sep-1999,8,0,29102,47.3,22,w,Individual,4.0,0.0,"7686 Main St
Nashville, GA 68648"
10021, 36 months,8.19,314.9,B,B5,Administrative Assistant,4 years,RENT,153943,Verified,Oct-2015,Fully Paid,debt_consolidation,Debt consolidation,22.28,Feb-1993,14,0,7652,43.6,31,f,Individual,0.0,0.0,"372 Elm St
Denver, OH 47416"
11951, 36 months,6.52,366.4,A,A5,Engineer,4 years,RENT,167795,Verified,Dec-2016,Fully Paid,credit_card,Credit card refinancing,12.52,Aug-2006,16,0,9340,83.3,26,f,Individual,,0.0,"395 Oak Ave
Houston, AL 80420"
6878, 36 months,14.85,237.92,C,C2,Marketing Manager,6 years,MORTGAGE,34810,Not Verified,Dec-2020,Fully Paid,debt_consolidation,Debt consolidation,22.16,Jun-2006,4,0,12935,66.4,15,w,Individual,6.0,0.0,"2556 Maple Dr
Nashville, CA 90580"
6517, 36 months,5.99,198.23,A,A1,Manager,10+ years,MORTGAGE,38342,Verified,Sep-2017,Fully Paid,medical,Medical expenses,18.21,Sep-1991,7,0,44574,65.9,12,w,Individual,11.0,0.0,"1145 Hill Ave
Fort Worth, OR 74389"
21753, 36 months,14.98,753.86,C,C3,Data Analyst,4 years,RENT,19835,Verified,Oct-2016,Fully Paid,credit_card,Credit card refinancing,18.26,Apr-2004,6,0,25945,53.0,16,w,Individual,0.0,1.0,"691 Lake Rd
Dallas, PA 99413"
30144, 36 months,9.46,965.04,B,B4,Marketing Manager,4 years,OTHER,15063,Not Verified,Mar-2020,Fully Paid,debt_consolidation,Debt consolidation,4.5,Jan-1985,9,1,3794,20.4,15,f,Individual,2.0,0.0,"9465 Main St
Fort Worth, MN 91368"
12794, 36 months,17.5,459.33,D,D2,Electrician,2 years,MORTGAGE,46500,Verified,Apr-2019,Charged Off,home_improvement,Home improvement,15.06,May-1997,17,0,11557,45.1,34,w,Individual,0.0,0.0,"9942 Maple Dr
Phoenix, PA 21123"
24394, 36 months,9.03,776.06,A,A2,Office Manager,5 years,RENT,39362,Verified,Jan-2018,Fully Paid,credit_card,Credit card refinancing,12.56,Jun-1985,17,0,23877,26.9,31,w,Individual,1.0,2.0,"2755 Park Rd
Louisville, OH 69080"
16597, 36 months,13.27,561.38,C,C3,Director,2 years,OWN,228659,Source Verified,Jun-2017,Fully Paid,debt_consolidation,Debt consolidation,15.43,Oct-1994,14,0,40153,26.2,19,w,Individual,4.0,0.0,"6785 River Rd
San Antonio, OR 67460"
9071, 36 months,7.34,281.5,A,A5,Program Manager,2 years,OWN,75057,Source Verified,Aug-2018,Fully Paid,debt_consolidation,Debt consolidation,13.58,May-2001,13,0,200000,32.2,19,w,Individual,1.0,1.0,"2050 Hill Ave
New York, WA 62185"
16594, 60 months,7.39,331.64,A,A5,Financial Analyst,10+ years,MORTGAGE,52280,Verified,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,9.59,Feb-1986,14,0,3407,35.2,22,w,Individual,8.0,0.0,"2854 Main St
New York, KY 37037"
33618, 60 months,21.41,917.25,E,E4,Operations Manager,1 year,OWN,91711,Verified,Jul-2017,Fully Paid,debt_consolidation,Debt consolidation,14.15,Jan-2011,14,0,23033,60.6,28,w,Individual,1.0,0.0,"8267 Park Rd
New York, IL 41836"
13075, 36 months,14.8,451.97,C,C3,Consultant,10+ years,RENT,116832,Source Verified,May-2015,Fully Paid,other,Other,13.65,Mar-1999,9,0,30444,69.4,20,w,Individual,2.0,1.0,"4387 Elm St
Baltimore, WA 97097"
34159, 36 months,7.37,1060.52,A,A2,RN,3 years,OWN,131779,Source Verified,Jul-2018,Fully Paid,debt_consolidation,Debt consolidation,24.68,Mar-2011,10,0,19620,33.1,23,f,Individual,0.0,0.0,"7038 Elm St
Dallas, SC 48465"
2774, 36 months,12.46,92.75,C,C3,Branch Manager,< 1 year,RENT,70878,Verified,Jul-2019,Fully Paid,house,Home buying,15.44,Feb-1983,25,0,12115,16.9,33,f,Individual,3.0,1.0,"9507 Lake Rd
Jacksonville, GA 94549"
21875, 36 months,13.38,741.07,C,C1,Operations Manager,10+ years,MORTGAGE,58961,Verified,Jan-2018,Fully Paid,debt_consolidation,Debt consolidation,12.72,Mar-1986,9,0,7635,16.7,18,w,Individual,0.0,0.0,"7793 Cedar Ln
New York, SC 94084"
14076, 60 months,14.86,333.83,C,C2,Driver,10+ years,RENT,66358,Source Verified,Sep-2015,Charged Off,small_business,Business,9.38,Oct-2011,5,0,10852,22.4,10,w,Individual,8.0,0.0,"5451 Lake Rd
Baltimore, KY 98934"
11165, 36 months,11.56,368.5,B,B4,Consultant,4 years,RENT,57641,Verified,May-2017,Fully Paid,credit_card,Credit card refinancing,50.0,Apr-1991,9,0,14847,15.2,27,f,Joint App,0.0,1.0,"1607 Cedar Ln
San Jose, WA 31804"
14115, 36 months,19.89,523.77,E,E4,Administrative Assistant,1 year,OWN,42446,Verified,Jul-2018,Fully Paid,renewable_energy,Green loan,25.73,Apr-1999,13,0,14855,63.4,21,w,Individual,0.0,0.0,"9890 Maple Dr
Baltimore, AZ 74131"
4053, 60 months,11.96,90.07,B,B2,Cashier,5 years,RENT,117956,Verified,May-2017,Fully Paid,major_purchase,Major purchase,17.71,Feb-2006,11,0,38585,50.1,20,w,Individual,4.0,0.0,"8227 Cedar Ln
Los Angeles, AL 32245"
11709, 36 months,9.78,376.61,B,B5,Branch Manager,2 years,OWN,52819,Source Verified,Aug-2020,Fully Paid,home_improvement,Home improvement,8.68,Dec-1993,13,0,11854,50.8,23,w,Individual,0.0,0.0,"6332 Hill Ave
Baltimore, IN 14024"
16552, 36 months,11.0,541.89,B,B2,Coordinator,10+ years,RENT,30966,Not Verified,Jun-2019,Charged Off,major_purchase,Major purchase,8.31,May-2010,7,0,18247,73.2,19,w,Individual,1.0,0.0,"3512 Maple Dr
Nashville, MI 35117"
32426, 36 months,17.79,1168.86,D,D2,Operations Manager,7 years,MORTGAGE,60680,Verified,Feb-2020,Charged Off,small_business,Business,34.88,Jan-1988,12,0,46097,19.2,28,w,Individual,4.0,0.0,"4247 Maple Dr
San Diego, NC 82756"
9789, 36 months,19.63,361.95,E,E1,Office Manager,,RENT,95399,Source Verified,Aug-2016,Fully Paid,renewable_energy,Green loan,33.96,May-1988,6,0,20198,16.4,19,f,Individual,2.0,0.0,"5511 Oak Ave
Dallas, WA 80634"
8224, 36 months,20.59,308.11,E,E2,Administrative Assistant,5 years,MORTGAGE,23240,Source Verified,Dec-2017,Fully Paid,debt_consolidation,Debt consolidation,18.61,Apr-2010,15,0,38869,30.8,29,f,Individual,2.0,0.0,"7130 Hill Ave
Seattle, MN 59742"
9886, 36 months,14.43,339.95,D,D3,,8 years,MORTGAGE,50273,Not Verified,Jul-2016,Charged Off,home_improvement,Home improvement,11.42,Nov-1996,9,0,9552,20.9,19,w,Individual,2.0,0.0,"6962 Maple Dr
Milwaukee, OK 99795"
23138, 36 months,26.41,937.31,G,G3,Sales,3 years,MORTGAGE,35547,Source Verified,Oct-2017,Fully Paid,credit_card,Credit card refinancing,12.85,Jan-1983,7,0,9663,52.9,17,w,Individual,1.0,0.0,"8523 Park Rd
Oklahoma City, AL 32245"
16272, 60 months,19.35,425.24,D,D4,Office Manager,10+ years,RENT,247397,Source Verified,Dec-2017,Fully Paid,credit_card,Credit card refinancing,11.12,Apr-2011,14,0,682,55.5,26,w,Individual,3.0,0.0,"4485 Hill Ave
San Antonio, KY 19538"
9721, 36 months,14.64,335.27,D,D5,Director,< 1 year,RENT,63553,Source Verified,Oct-2019,Charged Off,home_improvement,Home improvement,41.89,Nov-2008,11,0,15888,38.6,21,f,Individual,4.0,0.0,"4960 Hill Ave
Boston, OK 72224"
18177, 60 months,25.7,541.0,G,G4,Supervisor,10+ years,RENT,164214,Verified,Jun-2019,Charged Off,credit_card,Credit card refinancing,15.0,Dec-1990,8,0,2714,50.8,18,f,Individual,2.0,0.0,"3846 Maple Dr
Nashville, MO 56351"
14160, 36 months,6.31,432.77,A,A1,Driver,5 years,MORTGAGE,70170,Verified,Jan-2019,Fully Paid,major_purchase,Major purchase,23.7,Sep-2007,16,0,4612,36.6,24,w,Individual,1.0,0.0,"7128 Elm St
Louisville, AZ 11653"
23889, 36 months,10.8,779.83,C,C2,Program Manager,8 years,MORTGAGE,74365,Source Verified,Jun-2017,Fully Paid,debt_consolidation,Debt consolidation,25.25,May-1993,12,0,49483,69.7,27,w,Individual,3.0,0.0,"8202 Park Rd
Columbus, WA 95859"
8767, 36 months,14.49,301.73,D,D4,Attorney,8 years,MORTGAGE,57531,Verified,Jul-2016,Fully Paid,credit_card,Credit card refinancing,9.22,Jul-1998,10,2,40013,28.6,26,w,Individual,,0.0,"5010 Hill Ave
Austin, GA 81159"
10975, 36 months,24.09,431.1,E,E2,IT Manager,10+ years,RENT,51794,Verified,Sep-2020,Fully Paid,moving,Moving and relocation,17.04,Sep-1999,10,0,13831,47.2,22,w,Individual,,1.0,"2627 Main St
Louisville, MN 17966"
10559, 36 months,21.88,402.6,E,E4,Assistant Manager,3 years,MORTGAGE,57067,Source Verified,Jul-2020,Fully Paid,debt_consolidation,Debt consolidation,14.49,Oct-1997,11,0,17406,26.3,21,w,Individual,,0.0,"7648 Lake Rd
Jacksonville, TN 18817"
5551, 36 months,22.5,213.43,E,E2,Sales,,MORTGAGE,39053,Source Verified,Jan-2016,Charged Off,debt_consolidation,Debt consolidation,29.36,Jun-1996,11,2,28461,45.7,28,w,Individual,1.0,0.0,"7816 Main St
Milwaukee, TN 89526"
15957, 60 months,25.03,468.64,F,F4,Police Officer,6 years,RENT,59445,Verified,Jul-2015,Fully Paid,debt_consolidation,Debt consolidation,21.57,Jan-1994,9,3,30218,33.3,23,w,Joint App,6.0,0.0,"4863 Park Rd
Philadelphia, LA 60728"
15625, 36 months,14.87,540.65,C,C3,Vice President,4 years,RENT,20839,Not Verified,Mar-2016,Fully Paid,debt_consolidation,Debt consolidation,16.05,Jun-2008,18,0,5548,57.2,25,f,Individual,7.0,1.0,"6793 River Rd
Seattle, OH 42366"
13400, 36 months,6.52,410.82,A,A1,IT Manager,7 years,RENT,67019,Not Verified,Sep-2016,Fully Paid,debt_consolidation,Debt consolidation,17.57,Jan-1987,10,0,19357,26.5,18,f,Individual,1.0,0.0,"4225 Cedar Ln
San Diego, OK 15466"
11605, 60 months,8.56,238.43,A,A4,Technician,10+ years,MORTGAGE,27360,Source Verified,Oct-2016,Fully Paid,credit_card,Credit card refinancing,12.08,Dec-1997,9,0,3885,49.5,19,w,Individual,0.0,0.0,"7155 River Rd
El Paso, NJ 43414"
5714, 36 months,16.15,201.31,C,C3,Teacher,10+ years,MORTGAGE,63664,Source Verified,Sep-2019,Fully Paid,major_purchase,Major purchase,10.73,Nov-1989,13,1,19367,17.5,24,w,Individual,4.0,0.0,"8874 Main St
Jacksonville, CA 53116"
10379, 36 months,9.49,332.42,B,B5,Team Lead,4 years,RENT,73763,Not Verified,Sep-2015,Fully Paid,debt_consolidation,Debt consolidation,11.7,Jul-1984,10,0,6148,20.3,23,w,Individual,1.0,0.0,"5106 Maple Dr
Las Vegas, NY 93275"
10876, 36 months,10.13,351.6,B,B4,Operations Manager,10+ years,RENT,150406,Not Verified,Apr-2019,Fully Paid,debt_consolidation,Debt consolidation,20.55,Nov-2009,13,3,10534,22.0,30,f,Individual,4.0,0.0,"6017 Main St
Washington, PA 35475"
8255, 36 months,9.63,264.93,B,B2,Supervisor,10+ years,RENT,73563,Source Verified,Apr-2019,Fully Paid,medical,Medical expenses,24.86,May-1994,8,0,4399,47.1,20,w,Individual,1.0,0.0,"8816 Cedar Ln
Fort Worth, MA 14351"
